year,state,candidate,party_simplified,candidatevotes,rank
2008,CONNECTICUT,"MCCAIN, JOHN",REPUBLICAN,629428,2.0
2008,CONNECTICUT,"NADER, RALPH",OTHER,19162,3.0
2008,CONNECTICUT,,OTHER,430,4.0
2012,CONNECTICUT,"OBAMA, BARACK H.",DEMOCRAT,905083,1.0
2012,CONNECTICUT,"ROMNEY, MITT",REPUBLICAN,634892,2.0
2012,CONNECTICUT,"JOHNSON, GARY",LIBERTARIAN,12340,3.0
2012,CONNECTICUT,,OTHER,4971,4.0
2012,CONNECTICUT,,OTHER,918,5.0
2016,CONNECTICUT,"CLINTON, HILLARY",DEMOCRAT,897572,1.0
2016,CONNECTICUT,"TRUMP, DONALD J.",REPUBLICAN,673215,2.0
2016,CONNECTICUT,"JOHNSON, GARY",LIBERTARIAN,48676,3.0
2016,CONNECTICUT,"STEIN, JILL",OTHER,22841,4.0
2016,CONNECTICUT,,OTHER,2616,5.0
2020,CONNECTICUT,"BIDEN, JOSEPH R. JR",DEMOCRAT,1080831,1.0
2020,CONNECTICUT,"TRUMP, DONALD J.",REPUBLICAN,714717,2.0
2020,CONNECTICUT,"JORGENSEN, JO",LIBERTARIAN,20230,3.0
2020,CONNECTICUT,"HAWKINS, HOWIE",OTHER,7538,4.0
2020,CONNECTICUT,"WEST, KANYE",OTHER,255,5.0
2020,CONNECTICUT,"CARROLL, BRIAN",OTHER,219,6.0
2020,CONNECTICUT,"SIMMONS, JADE",OTHER,22,7.0
2020,CONNECTICUT,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,13,8.0
2020,CONNECTICUT,"HOWARD, SHAWN W.",OTHER,12,9.0
2020,CONNECTICUT,"CHARLES, MARK",OTHER,11,10.0
2020,CONNECTICUT,"WELLS, KASEY",OTHER,6,11.0
2020,CONNECTICUT,"SIMMONS, MARY RUTH CARO",OTHER,2,12.0
2020,CONNECTICUT,"WEINSTEIN, KARYNN KRILL",OTHER,1,13.0
2020,CONNECTICUT,"KLOJZY, JEFFREY J.",OTHER,0,14.0
1976,DELAWARE,"CARTER, JIMMY",DEMOCRAT,122461,1.0
1976,DELAWARE,"FORD, GERALD",REPUBLICAN,109780,2.0
1976,DELAWARE,,OTHER,2432,3.0
1976,DELAWARE,"ANDERSON, THOMAS J.",OTHER,645,4.0
1976,DELAWARE,"LAROUCHE, LYNDON, JR.",OTHER,135,5.0
1976,DELAWARE,"BUBAR, BENJAMIN """"BEN""""",OTHER,103,6.0
1976,DELAWARE,,OTHER,86,7.0
1980,DELAWARE,"REAGAN, RONALD",REPUBLICAN,111252,1.0
1980,DELAWARE,"CARTER, JIMMY",DEMOCRAT,105754,2.0
1980,DELAWARE,"ANDERSON, JOHN B.",OTHER,16288,3.0
1980,DELAWARE,"CLARK, EDWARD """"ED""""",LIBERTARIAN,1974,4.0
1980,DELAWARE,"GREAVES, PERCY L, JR.",OTHER,400,5.0
1984,DELAWARE,"REAGAN, RONALD",REPUBLICAN,152190,1.0
1984,DELAWARE,"MONDALE, WALTER",DEMOCRAT,101656,2.0
1984,DELAWARE,"DENNIS, DELMAR",OTHER,269,3.0
1984,DELAWARE,"BERGLAND, DAVID",LIBERTARIAN,268,4.0
1984,DELAWARE,"JOHNSON, SONIA",OTHER,121,5.0
1984,DELAWARE,"SERRETTE, DENNIS",OTHER,68,6.0
1988,DELAWARE,"BUSH, GEORGE H.W.",REPUBLICAN,139639,1.0
1988,DELAWARE,"DUKAKIS, MICHAEL",DEMOCRAT,108647,2.0
1988,DELAWARE,"PAUL, RONALD """"RON""""",LIBERTARIAN,1162,3.0
1988,DELAWARE,"FULANI, LENORA",OTHER,443,4.0
1992,DELAWARE,"CLINTON, BILL",DEMOCRAT,126054,1.0
1992,DELAWARE,"BUSH, GEORGE H.W.",REPUBLICAN,102313,2.0
1992,DELAWARE,"PEROT, ROSS",OTHER,59213,3.0
1992,DELAWARE,"FULANI, LENORA",OTHER,1105,4.0
1992,DELAWARE,"MARROU, ANDRE",LIBERTARIAN,935,5.0
1996,DELAWARE,"CLINTON, BILL",DEMOCRAT,140355,1.0
1996,DELAWARE,"DOLE, ROBERT",REPUBLICAN,99062,2.0
1996,DELAWARE,"PEROT, ROSS",OTHER,28719,3.0
1996,DELAWARE,"BROWNE, HARRY",LIBERTARIAN,2052,4.0
1996,DELAWARE,"PHILLIPS, HOWARD",OTHER,348,5.0
1996,DELAWARE,"HAGELIN, JOHN",OTHER,274,6.0
2000,DELAWARE,"GORE, AL",DEMOCRAT,180068,1.0
2000,DELAWARE,"BUSH, GEORGE W.",REPUBLICAN,137288,2.0
2000,DELAWARE,"NADER, RALPH",OTHER,8307,3.0
2000,DELAWARE,"BUCHANAN, PATRICK """"PAT""""",OTHER,777,4.0
2000,DELAWARE,"BROWNE, HARRY",LIBERTARIAN,774,5.0
2000,DELAWARE,"PHILLIPS, HOWARD",OTHER,208,6.0
2000,DELAWARE,"HAGELIN, JOHN",OTHER,107,7.0
2004,DELAWARE,"KERRY, JOHN",DEMOCRAT,200152,1.0
2004,DELAWARE,"BUSH, GEORGE W.",REPUBLICAN,171660,2.0
2004,DELAWARE,"NADER, RALPH",OTHER,2153,3.0
2004,DELAWARE,"BADNARIK, MICHAEL",LIBERTARIAN,586,4.0
2004,DELAWARE,"PEROUTKA, MICHAEL",OTHER,289,5.0
2004,DELAWARE,"COBB, DAVID",OTHER,250,6.0
2004,DELAWARE,"BROWN, WALT",OTHER,100,7.0
2008,DELAWARE,"OBAMA, BARACK H.",DEMOCRAT,255459,1.0
2008,DELAWARE,"MCCAIN, JOHN",REPUBLICAN,152374,2.0
2008,DELAWARE,"NADER, RALPH",OTHER,2401,3.0
2008,DELAWARE,"BARR, BOB",LIBERTARIAN,1109,4.0
2008,DELAWARE,"BALDWIN, CHARLES """"CHUCK""""",OTHER,626,5.0
2008,DELAWARE,"MCKINNEY, CYNTHIA",OTHER,385,6.0
2008,DELAWARE,"CALERO, ROGER",OTHER,58,7.0
2012,DELAWARE,"OBAMA, BARACK H.",DEMOCRAT,242584,1.0
2012,DELAWARE,"ROMNEY, MITT",REPUBLICAN,165484,2.0
2012,DELAWARE,"JOHNSON, GARY",LIBERTARIAN,3882,3.0
2012,DELAWARE,"STEIN, JILL",OTHER,1940,4.0
2016,DELAWARE,"CLINTON, HILLARY",DEMOCRAT,235603,1.0
2016,DELAWARE,"TRUMP, DONALD J.",REPUBLICAN,185127,2.0
2016,DELAWARE,"JOHNSON, GARY",LIBERTARIAN,14757,3.0
2016,DELAWARE,"STEIN, JILL",OTHER,6103,4.0
2020,DELAWARE,"BIDEN, JOSEPH R. JR",DEMOCRAT,296268,1.0
2020,DELAWARE,"TRUMP, DONALD J.",REPUBLICAN,200603,2.0
2020,DELAWARE,"JORGENSEN, JO",LIBERTARIAN,5000,3.0
2020,DELAWARE,"HAWKINS, HOWIE",OTHER,2139,4.0
2020,DELAWARE,"WEST, KANYE",OTHER,169,5.0
2020,DELAWARE,"CARROLL, BRIAN",OTHER,87,6.0
2020,DELAWARE,"SIMMONS, JADE",OTHER,28,7.0
2020,DELAWARE,"LA RIVA, GLORIA ESTELLA",OTHER,14,8.0
2020,DELAWARE,"CHARLES, MARK",OTHER,8,9.0
2020,DELAWARE,"BELLAR, BARBARA",OTHER,7,10.0
2020,DELAWARE,"PIERCE, BROCK",OTHER,5,11.0
2020,DELAWARE,"HOWARD, SHAWN W.",OTHER,4,12.0
2020,DELAWARE,"BALL, DENNIS ANDREW",OTHER,3,13.0
2020,DELAWARE,"WILLIAMS, MITCHELL",OTHER,2,15.0
2020,DELAWARE,"JACOB?FAMBRO, PRINCESS KHADIJAH MARYAM",OTHER,2,15.0
2020,DELAWARE,"CELLA, TODD",OTHER,2,15.0
2020,DELAWARE,"ROUSE, DEBORAH",OTHER,1,19.0
2020,DELAWARE,"WELLS, KASEY",OTHER,1,19.0
2020,DELAWARE,"GIBSON, KATHRYN",OTHER,1,19.0
2020,DELAWARE,"BODDIE, R. PRESIDENT",OTHER,1,19.0
2020,DELAWARE,"HOEFLING, TOM",OTHER,1,19.0
1976,DISTRICT OF COLUMBIA,"CARTER, JIMMY",DEMOCRAT,137818,1.0
1976,DISTRICT OF COLUMBIA,"FORD, GERALD",REPUBLICAN,27873,2.0
1976,DISTRICT OF COLUMBIA,OTHER,OTHER,1656,3.0
1976,DISTRICT OF COLUMBIA,,OTHER,1195,4.0
1976,DISTRICT OF COLUMBIA,,OTHER,288,5.0
1980,DISTRICT OF COLUMBIA,"CARTER, JIMMY",DEMOCRAT,130231,1.0
1980,DISTRICT OF COLUMBIA,"REAGAN, RONALD",REPUBLICAN,23313,2.0
1980,DISTRICT OF COLUMBIA,"ANDERSON, JOHN B.",OTHER,16131,3.0
1980,DISTRICT OF COLUMBIA,"COMMONER, BARRY",OTHER,1826,4.0
1980,DISTRICT OF COLUMBIA,"CLARK, EDWARD """"ED""""",LIBERTARIAN,1104,5.0
1980,DISTRICT OF COLUMBIA,,OTHER,690,6.0
1980,DISTRICT OF COLUMBIA,"HALL, GUS",OTHER,369,7.0
1980,DISTRICT OF COLUMBIA,"DEBERRY, CLIFTON",OTHER,173,8.0
1980,DISTRICT OF COLUMBIA,"GRISWOLD, DEIRDRE",OTHER,52,9.0
1984,DISTRICT OF COLUMBIA,"MONDALE, WALTER",DEMOCRAT,180408,1.0
1984,DISTRICT OF COLUMBIA,"REAGAN, RONALD",REPUBLICAN,29009,2.0
1984,DISTRICT OF COLUMBIA,OTHER,OTHER,809,3.0
1984,DISTRICT OF COLUMBIA,"BERGLAND, DAVID",LIBERTARIAN,279,4.0
1984,DISTRICT OF COLUMBIA,"HALL, GUS",OTHER,257,5.0
1984,DISTRICT OF COLUMBIA,"SERRETTE, DENNIS",OTHER,165,6.0
1984,DISTRICT OF COLUMBIA,"LAROUCHE, LYNDON, JR.",OTHER,127,7.5
1984,DISTRICT OF COLUMBIA,"MASON, MELVIN",OTHER,127,7.5
1984,DISTRICT OF COLUMBIA,"HOLMES, LARRY",OTHER,107,9.0
1988,DISTRICT OF COLUMBIA,"DUKAKIS, MICHAEL",DEMOCRAT,159407,1.0
1988,DISTRICT OF COLUMBIA,"BUSH, GEORGE H.W.",REPUBLICAN,27590,2.0
1988,DISTRICT OF COLUMBIA,,OTHER,3064,3.0
1988,DISTRICT OF COLUMBIA,,OTHER,1553,4.0
1988,DISTRICT OF COLUMBIA,"PAUL, RONALD """"RON""""",LIBERTARIAN,554,5.0
1988,DISTRICT OF COLUMBIA,,OTHER,236,6.0
1988,DISTRICT OF COLUMBIA,"WINN, EDWARD",OTHER,208,7.0
1988,DISTRICT OF COLUMBIA,"KENOYER, WILLA",OTHER,142,8.0
1988,DISTRICT OF COLUMBIA,"WARREN, JAMES """"MAC""""",OTHER,123,9.0
1992,DISTRICT OF COLUMBIA,"CLINTON, BILL",DEMOCRAT,192619,1.0
1992,DISTRICT OF COLUMBIA,"BUSH, GEORGE H.W.",REPUBLICAN,20698,2.0
1992,DISTRICT OF COLUMBIA,"PEROT, ROSS",OTHER,9681,3.0
1992,DISTRICT OF COLUMBIA,"FULANI, LENORA",OTHER,1459,4.0
1992,DISTRICT OF COLUMBIA,"DANIELS, RONALD",OTHER,1446,5.0
1992,DISTRICT OF COLUMBIA,,OTHER,676,6.0
1992,DISTRICT OF COLUMBIA,"MARROU, ANDRE",LIBERTARIAN,467,7.0
1992,DISTRICT OF COLUMBIA,"HAGELIN, JOHN",OTHER,230,8.0
1992,DISTRICT OF COLUMBIA,OTHER,OTHER,191,9.0
1992,DISTRICT OF COLUMBIA,OTHER,OTHER,105,10.0
1996,DISTRICT OF COLUMBIA,"CLINTON, BILL",DEMOCRAT,158220,1.0
1996,DISTRICT OF COLUMBIA,"DOLE, ROBERT",REPUBLICAN,17339,2.0
1996,DISTRICT OF COLUMBIA,"NADER, RALPH",OTHER,4780,3.0
1996,DISTRICT OF COLUMBIA,"PEROT, ROSS",OTHER,3611,4.0
1996,DISTRICT OF COLUMBIA,,OTHER,648,5.0
1996,DISTRICT OF COLUMBIA,"BROWNE, HARRY",LIBERTARIAN,588,6.0
1996,DISTRICT OF COLUMBIA,"HAGELIN, JOHN",OTHER,283,7.0
1996,DISTRICT OF COLUMBIA,"HARRIS, JAMES",OTHER,257,8.0
2000,DISTRICT OF COLUMBIA,"GORE, AL",DEMOCRAT,171923,1.0
2000,DISTRICT OF COLUMBIA,"BUSH, GEORGE W.",REPUBLICAN,18073,2.0
2000,DISTRICT OF COLUMBIA,"NADER, RALPH",OTHER,10576,3.0
2000,DISTRICT OF COLUMBIA,"BROWNE, HARRY",LIBERTARIAN,669,4.0
2000,DISTRICT OF COLUMBIA,,OTHER,539,5.0
2000,DISTRICT OF COLUMBIA,"HARRIS, JAMES",OTHER,114,6.0
2004,DISTRICT OF COLUMBIA,"KERRY, JOHN",DEMOCRAT,202970,1.0
2004,DISTRICT OF COLUMBIA,"BUSH, GEORGE W.",REPUBLICAN,21256,2.0
2004,DISTRICT OF COLUMBIA,"NADER, RALPH",OTHER,1485,3.0
2004,DISTRICT OF COLUMBIA,"COBB, DAVID",OTHER,737,4.0
2004,DISTRICT OF COLUMBIA,OTHERS,OTHER,506,5.0
2004,DISTRICT OF COLUMBIA,"BADNARIK, MICHAEL",LIBERTARIAN,502,6.0
2004,DISTRICT OF COLUMBIA,"CALERO, ROGER",OTHER,130,7.0
2008,DISTRICT OF COLUMBIA,"OBAMA, BARACK H.",DEMOCRAT,245800,1.0
2008,DISTRICT OF COLUMBIA,"MCCAIN, JOHN",REPUBLICAN,17367,2.0
2008,DISTRICT OF COLUMBIA,,OTHER,1138,3.0
2008,DISTRICT OF COLUMBIA,"NADER, RALPH",OTHER,958,4.0
2008,DISTRICT OF COLUMBIA,"MCKINNEY, CYNTHIA",OTHER,590,5.0
2012,DISTRICT OF COLUMBIA,"OBAMA, BARACK H.",DEMOCRAT,267070,1.0
2012,DISTRICT OF COLUMBIA,"ROMNEY, MITT",REPUBLICAN,21381,2.0
2012,DISTRICT OF COLUMBIA,"STEIN, JILL",OTHER,2458,3.0
2012,DISTRICT OF COLUMBIA,"JOHNSON, GARY",LIBERTARIAN,2083,4.0
2012,DISTRICT OF COLUMBIA,,OTHER,772,5.0
2016,DISTRICT OF COLUMBIA,"CLINTON, HILLARY",DEMOCRAT,282830,1.0
2016,DISTRICT OF COLUMBIA,"TRUMP, DONALD J.",REPUBLICAN,12723,2.0
2016,DISTRICT OF COLUMBIA,,OTHER,6551,3.0
2016,DISTRICT OF COLUMBIA,"JOHNSON, GARY",LIBERTARIAN,4906,4.0
2016,DISTRICT OF COLUMBIA,"STEIN, JILL",OTHER,4258,5.0
2016,DISTRICT OF COLUMBIA,BLANK VOTE,OTHER,1064,6.0
2016,DISTRICT OF COLUMBIA,OVER VOTE,OTHER,243,7.0
2020,DISTRICT OF COLUMBIA,"BIDEN, JOSEPH R. JR",DEMOCRAT,317323,1.0
2020,DISTRICT OF COLUMBIA,"TRUMP, DONALD J.",REPUBLICAN,18586,2.0
2020,DISTRICT OF COLUMBIA,,OTHER,3137,3.0
2020,DISTRICT OF COLUMBIA,"JORGENSEN, JO",LIBERTARIAN,2036,4.0
2020,DISTRICT OF COLUMBIA,"HAWKINS, HOWIE",OTHER,1726,5.0
2020,DISTRICT OF COLUMBIA,"LA RIVA, GLORIA ESTELLA",OTHER,855,6.0
2020,DISTRICT OF COLUMBIA,"PIERCE, BROCK",OTHER,693,7.0
1976,FLORIDA,"CARTER, JIMMY",DEMOCRAT,1636000,1.0
1976,FLORIDA,"FORD, GERALD",REPUBLICAN,1469531,2.0
1976,FLORIDA,"MCCARTHY, EUGENE """"GENE""""",OTHER,23643,3.0
1976,FLORIDA,"ANDERSON, THOMAS J.",OTHER,21325,4.0
1976,FLORIDA,,OTHER,132,5.0
1980,FLORIDA,"REAGAN, RONALD",REPUBLICAN,2046951,1.0
1980,FLORIDA,"CARTER, JIMMY",DEMOCRAT,1419475,2.0
1980,FLORIDA,"ANDERSON, JOHN B.",OTHER,189692,3.0
1980,FLORIDA,"CLARK, EDWARD """"ED""""",LIBERTARIAN,30524,4.0
1980,FLORIDA,,OTHER,285,5.0
1984,FLORIDA,"REAGAN, RONALD",REPUBLICAN,2730350,1.0
1984,FLORIDA,"MONDALE, WALTER",DEMOCRAT,1448816,2.0
1984,FLORIDA,OTHER,OTHER,885,3.0
1988,FLORIDA,"BUSH, GEORGE H.W.",REPUBLICAN,2618885,1.0
1988,FLORIDA,"DUKAKIS, MICHAEL",DEMOCRAT,1656701,2.0
1988,FLORIDA,"PAUL, RONALD """"RON""""",LIBERTARIAN,19796,3.0
1988,FLORIDA,"FULANI, LENORA",OTHER,6655,4.0
1988,FLORIDA,,OTHER,276,5.0
1992,FLORIDA,"BUSH, GEORGE H.W.",REPUBLICAN,2173310,1.0
1992,FLORIDA,"CLINTON, BILL",DEMOCRAT,2071698,2.0
1992,FLORIDA,"PEROT, ROSS",OTHER,1053067,3.0
1992,FLORIDA,"MARROU, ANDRE",LIBERTARIAN,15079,4.0
1992,FLORIDA,,OTHER,238,5.0
1996,FLORIDA,"CLINTON, BILL",DEMOCRAT,2546870,1.0
1996,FLORIDA,"DOLE, ROBERT",REPUBLICAN,2244536,2.0
1996,FLORIDA,"PEROT, ROSS",OTHER,483870,3.0
1996,FLORIDA,"BROWNE, HARRY",LIBERTARIAN,23326,4.0
1996,FLORIDA,,OTHER,4552,5.0
2000,FLORIDA,"BUSH, GEORGE W.",REPUBLICAN,2912790,1.0
2000,FLORIDA,"GORE, AL",DEMOCRAT,2912253,2.0
2000,FLORIDA,"NADER, RALPH",OTHER,97488,3.0
2000,FLORIDA,"BUCHANAN, PATRICK """"PAT""""",OTHER,17484,4.0
2000,FLORIDA,"BROWNE, HARRY",LIBERTARIAN,16415,5.0
2000,FLORIDA,"HAGELIN, JOHN",OTHER,2281,6.0
2000,FLORIDA,"MOOREHEAD, MONICA",OTHER,1804,7.0
2000,FLORIDA,"PHILLIPS, HOWARD",OTHER,1371,8.0
2000,FLORIDA,"MCREYNOLDS, DAVID",OTHER,622,9.0
2000,FLORIDA,"HARRIS, JAMES",OTHER,562,10.0
2000,FLORIDA,,OTHER,40,11.0
2004,FLORIDA,"BUSH, GEORGE W.",REPUBLICAN,3964522,1.0
2004,FLORIDA,"KERRY, JOHN",DEMOCRAT,3583544,2.0
2004,FLORIDA,"NADER, RALPH",OTHER,32971,3.0
2004,FLORIDA,"BADNARIK, MICHAEL",LIBERTARIAN,11996,4.0
2004,FLORIDA,"PEROUTKA, MICHAEL",OTHER,6626,5.0
2004,FLORIDA,"COBB, DAVID",OTHER,3917,6.0
2004,FLORIDA,"BROWN, WALT",OTHER,3502,7.0
2004,FLORIDA,"CALERO, ROGER",OTHER,2732,8.0
2008,FLORIDA,"OBAMA, BARACK H.",DEMOCRAT,4282074,1.0
2008,FLORIDA,"MCCAIN, JOHN",REPUBLICAN,4045624,2.0
2008,FLORIDA,"NADER, RALPH",OTHER,28124,3.0
2008,FLORIDA,"BARR, BOB",LIBERTARIAN,17218,4.0
2008,FLORIDA,"BALDWIN, CHARLES """"CHUCK""""",OTHER,7915,5.0
2008,FLORIDA,"MCKINNEY, CYNTHIA",OTHER,2887,6.0
2008,FLORIDA,"KEYES, ALAN",OTHER,2550,7.0
2008,FLORIDA,"LA RIVA, GLORIA ESTELLA",OTHER,1516,8.0
2008,FLORIDA,"JAY, CHARLES",OTHER,795,9.0
2008,FLORIDA,"CALERO, ROGER",OTHER,533,10.0
2008,FLORIDA,"STEVENS, THOMAS R.",OTHER,419,11.0
2008,FLORIDA,"MOORE, BRIAN",OTHER,405,12.0
2008,FLORIDA,,OTHER,391,13.0
2008,FLORIDA,"AMONDSON, GENE",OTHER,293,14.0
2012,FLORIDA,"OBAMA, BARACK H.",DEMOCRAT,4237756,1.0
2012,FLORIDA,"ROMNEY, MITT",REPUBLICAN,4163447,2.0
2012,FLORIDA,"JOHNSON, GARY",LIBERTARIAN,44726,3.0
2012,FLORIDA,"STEIN, JILL",OTHER,8947,4.0
2012,FLORIDA,"BARR, ROSEANNE",OTHER,8154,5.0
2012,FLORIDA,"STEVENS, THOMAS ROBERT """"TOM""""",OTHER,3856,6.0
2012,FLORIDA,"GOODE, VIRGIL HAMLIN, JR.",OTHER,2607,7.0
2012,FLORIDA,"ANDERSON, ROSS CARL """"ROCKY""""",OTHER,1754,8.0
2012,FLORIDA,"HOEFLING, THOMAS CONRAD """"TOM""""",OTHER,946,9.0
2012,FLORIDA,"BARNETT, ANDRE",OTHER,820,10.0
2012,FLORIDA,"ALEXANDER, STEWART",OTHER,799,11.0
2012,FLORIDA,"LINDSAY, PETA",OTHER,322,12.0
2012,FLORIDA,,OTHER,45,13.0
2016,FLORIDA,"TRUMP, DONALD J.",REPUBLICAN,4617886,1.0
2016,FLORIDA,"CLINTON, HILLARY",DEMOCRAT,4504975,2.0
2016,FLORIDA,"JOHNSON, GARY",LIBERTARIAN,207043,3.0
2016,FLORIDA,"STEIN, JILL",OTHER,64399,4.0
2016,FLORIDA,"CASTLE, DARRELL L.",OTHER,16475,5.0
2016,FLORIDA,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,9108,6.0
2016,FLORIDA,,OTHER,153,7.0
2020,FLORIDA,"TRUMP, DONALD J.",REPUBLICAN,5668731,1.0
2020,FLORIDA,"BIDEN, JOSEPH R. JR",DEMOCRAT,5297045,2.0
2020,FLORIDA,"JORGENSEN, JO",LIBERTARIAN,70324,3.0
2020,FLORIDA,"HAWKINS, HOWIE",OTHER,14721,4.0
2020,FLORIDA,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,5966,5.0
2020,FLORIDA,"LA RIVA, GLORIA ESTELLA",OTHER,5712,6.0
2020,FLORIDA,"BLANKENSHIP, DON",OTHER,3902,7.0
2020,FLORIDA,"CARROLL, BRIAN",OTHER,854,8.0
2020,FLORIDA,"SIMMONS, JADE",OTHER,181,9.0
2020,FLORIDA,"HOWARD, SHAWN W.",OTHER,9,10.0
2020,FLORIDA,"WELLS, KASEY",OTHER,8,11.0
2020,FLORIDA,"WALLS-WINDHAUSER, ANGELA",OTHER,2,12.0
2020,FLORIDA,"LABOCH, MICHAEL",OTHER,1,13.0
1976,GEORGIA,"CARTER, JIMMY",DEMOCRAT,979409,1.0
1976,GEORGIA,"FORD, GERALD",REPUBLICAN,483743,2.0
1980,GEORGIA,"CARTER, JIMMY",DEMOCRAT,890955,1.0
1980,GEORGIA,"REAGAN, RONALD",REPUBLICAN,654168,2.0
1980,GEORGIA,"ANDERSON, JOHN B.",OTHER,36055,3.0
1980,GEORGIA,"CLARK, EDWARD """"ED""""",LIBERTARIAN,15627,4.0
1984,GEORGIA,"REAGAN, RONALD",REPUBLICAN,1068722,1.0
1984,GEORGIA,"MONDALE, WALTER",DEMOCRAT,706628,2.0
1984,GEORGIA,OTHER,OTHER,753,3.0
1988,GEORGIA,"BUSH, GEORGE H.W.",REPUBLICAN,1081331,1.0
1988,GEORGIA,"DUKAKIS, MICHAEL",DEMOCRAT,714792,2.0
1988,GEORGIA,"PAUL, RONALD """"RON""""",LIBERTARIAN,8435,3.0
1988,GEORGIA,"FULANI, LENORA",OTHER,5099,4.0
1988,GEORGIA,,OTHER,15,5.0
1992,GEORGIA,"CLINTON, BILL",DEMOCRAT,1008966,1.0
1992,GEORGIA,"BUSH, GEORGE H.W.",REPUBLICAN,995252,2.0
1992,GEORGIA,"PEROT, ROSS",OTHER,309657,3.0
1992,GEORGIA,"MARROU, ANDRE",LIBERTARIAN,7110,4.0
1992,GEORGIA,,OTHER,148,5.0
1996,GEORGIA,"DOLE, ROBERT",REPUBLICAN,1080843,1.0
1996,GEORGIA,"CLINTON, BILL",DEMOCRAT,1053849,2.0
1996,GEORGIA,"PEROT, ROSS",OTHER,146337,3.0
1996,GEORGIA,"BROWNE, HARRY",LIBERTARIAN,17870,4.0
2000,GEORGIA,"BUSH, GEORGE W.",REPUBLICAN,1419720,1.0
2000,GEORGIA,"GORE, AL",DEMOCRAT,1116230,2.0
2000,GEORGIA,"BROWNE, HARRY",LIBERTARIAN,36332,3.0
